@RELATION smartphone

@ATTRIBUTE Gender {Female, LGBTQ+, Male}
@ATTRIBUTE Age_range {18-25, 26-32, 26-35, 33-40, 36-45, 46-55, 56+, 60+}
@ATTRIBUTE Status {Married, Single, Student, Working}
@ATTRIBUTE Top3_smartphone_activities {'/, Email, Finance', 'Art photography, Video editing, Upload stories', 'Chat with family, Read e-books, Listen to radio', 'Cloud apps, Communication/meetings, Social media', 'Communication, Take photos, Social media', 'Communication/meetings, Social media', 'Email, , Finance', 'GPS navigation, Check car condition, Listen to podcasts', 'Online meetings, Schedule management, Email', 'Online shopping, Social media, Finance', 'Online shopping, Track delivery, Customer chat', 'Play esports, Stream games, Community chat', 'Play games', 'Play games, Streaming, Social media', 'Play games, Streaming, Take photos/videos', 'Play games, Take photos, Watch movies', 'Play games, Take photos/videos', 'Play games, Take photos/videos, Cloud apps', 'Play games, Take photos/videos, Social media', 'Play games, Watch movies, Take photos', 'Product photography, Edit reviews, Online marketplace', 'Read news, Check stocks, Finance', 'Social media, Take photos/videos, Watch movies/Listen to music', 'Streaming, Take photos/videos, Edit video', 'Take photos, Listen to music, Social media', 'Take photos/videos, Communication/meetings, Social media', 'Take photos/videos, Watch movies/Listen to music, Online shopping', 'TikTok, Livestream, Search information', 'Track delivery, Customer chat, Email', 'Watch movies, Listen to music, Take photos', 'Watch movies, Play games, Take photos', 'Watch movies, Take photos, Listen to music', 'Watch movies/listen to music', 'Watch movies/listen to music, Communication/meetings, Social media', 'Watch movies/listen to music, Play games', 'Watch movies/listen to music, Play games, Cloud apps', 'Watch movies/listen to music, Play games, Communication/meetings', 'Watch movies/listen to music, Play games, Social media', 'Watch movies/listen to music, Play games, Take photos', 'Watch movies/listen to music, Play games, Take photos/videos', 'Watch movies/listen to music, Social media', 'Watch movies/listen to music, Take photos/videos', 'Watch movies/listen to music, Take photos/videos, Communication/meetings', 'Watch movies/listen to music, Take photos/videos, Social media'}
@ATTRIBUTE Frequent_apps {CapCut, Discord, Facebook, 'Facebook Messenger', 'Facebook, Facebook Messenger, Line', 'Facebook, Facebook Messenger, Spotify', 'Facebook, Facebook Messenger, Spotify, TikTok', 'Facebook, TikTok, Line', 'Facebook, YouTube', 'Facebook, YouTube, Facebook Messenger', 'Facebook, YouTube, Facebook Messenger, Spotify', 'Facebook, YouTube, Facebook Messenger, TikTok', Gmail, 'Google Maps', Instagram, 'Instagram, Facebook Messenger, TikTok', 'Instagram, Facebook, Facebook Messenger, Spotify, TikTok', 'Instagram, Facebook, Facebook Messenger, TikTok', 'Instagram, Facebook, Facebook Messenger, TikTok, LINE', 'Instagram, Facebook, Facebook Messenger, TikTok, Telegram', 'Instagram, Facebook, TikTok', 'Instagram, Facebook, YouTube', 'Instagram, Facebook, YouTube, Facebook Messenger', 'Instagram, Facebook, YouTube, Facebook Messenger, Spotify', 'Instagram, Facebook, YouTube, Facebook Messenger, Spotify, TikTok', 'Instagram, Facebook, YouTube, Facebook Messenger, Spotify, TikTok, Telegram', 'Instagram, Facebook, YouTube, Facebook Messenger, Spotify, WhatsApp, TikTok, Telegram', 'Instagram, Facebook, YouTube, Facebook Messenger, Telegram', 'Instagram, Facebook, YouTube, Facebook Messenger, TikTok', 'Instagram, Facebook, YouTube, Facebook Messenger, TikTok, Line', 'Instagram, Facebook, YouTube, Facebook Messenger, TikTok, Line, X', 'Instagram, Facebook, YouTube, Facebook Messenger, TikTok, Telegram', 'Instagram, Facebook, YouTube, Snapchat, Facebook Messenger, Spotify, TikTok', 'Instagram, Facebook, YouTube, Snapchat, Facebook Messenger, Spotify, WhatsApp, TikTok', 'Instagram, Facebook, YouTube, Snapchat, Facebook Messenger, Spotify, WhatsApp, TikTok, Telegram', 'Instagram, Facebook, YouTube, Spotify, TikTok', 'Instagram, Facebook, YouTube, TikTok', 'Instagram, Spotify, TikTok', 'Instagram, TikTok', 'Instagram, YouTube, Facebook Messenger, Spotify, TikTok', 'Instagram, YouTube, Facebook Messenger, TikTok', 'Instagram, YouTube, Spotify, Telegram', 'Instagram, YouTube, Spotify, TikTok', 'Instagram, YouTube, TikTok', LINE, 'Microsoft Teams', SET, Shopee, Telegram, TikTok, VSCO, WhatsApp, YouTube, 'YouTube, Facebook Messenger, Discord, Wise', 'YouTube, TikTok'}
@ATTRIBUTE Daily_usage_duration {'0-1 hours', '1-3 hours', '3-5 hours', '5-6 hours', '>5 hours'}
@ATTRIBUTE Smartphone_importance {Essential, 'Highly essential', 'Not important', 'Not necessary', 'Somewhat important'}
@ATTRIBUTE Key_factor_online_purchase {Battery, Brand, Camera, Design, Durability, Ecosystem, Features, Performance, Price, 'Product features', 'Product reviews', Reliability, 'Sensor quality', Simplicity, Stability, 'Value for money'}
@ATTRIBUTE Brand_satisfaction NUMERIC
@ATTRIBUTE Purchase_problem {'After-sales service issues', 'Blurry camera', 'Cannot try product before buying', 'Complex payment process', 'Concerns about after-sales service', 'Concerns about payment security', 'Concerns about safety', 'Concerns about warranty', 'Dead pixels on screen', 'Delivery delays', 'Device overheats', 'Difficult return process', 'Difficult to compare prices', 'Insufficient storage', 'Issues with delivery', 'Limited warranty coverage', 'No problems', 'Outdated system', 'Payment issues', 'Payment security concerns', 'Product is too expensive', 'Product quality doesn\'t match ads', 'System crashes frequently', 'Unable to inspect product', 'Uncertainty about after-sales service', 'Uncertainty about warranty', 'Warranty or service concerns'}
@ATTRIBUTE Monthly_income {100001-150000, 15001-20000, 20001-30000, 25001-35000, 30001-40000, 30001-50000, 50001, 50001-100000, 'Less than 15000'}
@ATTRIBUTE Occupation {Artist, 'Business owner', 'Civil servant', 'Content creator', 'Delivery staff', Employee, 'Factory worker', Freelancer, Housewife, Investor, 'Logistics staff', Manager, 'Office worker', 'Online seller', 'Private company employee', Retired, Student}
@ATTRIBUTE Current_brand {Apple, Huawei, Infinix, Oppo, Realme, 'Realme 7 5G', Redmi, Samsung, Vivo, Xiaomi}

@DATA
Male,18-25,Single,'Watch movies/listen to music, Take photos/videos, Communication/meetings','Instagram, Facebook, YouTube, Facebook Messenger, Telegram','1-3 hours',Essential,'Product features',3,'Concerns about payment security','Less than 15000',Student,'Realme 7 5G'
Male,56+,Student,'Watch movies/listen to music, Play games, Cloud apps','Instagram, Facebook, YouTube, Facebook Messenger, TikTok, Line, X','0-1 hours','Not necessary','Product features',4,'Concerns about payment security','Less than 15000',Freelancer,Redmi
LGBTQ+,26-32,Single,'Online meetings, Schedule management, Email','Instagram, Facebook, Facebook Messenger, TikTok, LINE','0-1 hours','Highly essential','Sensor quality',3,'Device overheats',20001-30000,Artist,Huawei
Female,60+,Married,'Play games',TikTok,'0-1 hours','Highly essential',Price,2,'No problems',30001-40000,Freelancer,Apple
Male,18-25,Single,'Watch movies/listen to music, Play games','Facebook, YouTube','>5 hours','Highly essential','Product features',3,'Unable to inspect product','Less than 15000',Student,Huawei
Male,56+,Student,'Play games, Take photos/videos, Cloud apps','Instagram, YouTube, Spotify, Telegram','0-1 hours',Essential,Price,3,'Limited warranty coverage',25001-35000,Investor,Xiaomi
LGBTQ+,18-25,Working,'Watch movies/listen to music','Instagram, Facebook, Facebook Messenger, TikTok','5-6 hours','Not important',Brand,4,'Uncertainty about warranty','Less than 15000',Artist,Realme
Male,26-35,Married,'Watch movies, Play games, Take photos','Facebook, Facebook Messenger, Spotify','0-1 hours','Highly essential',Stability,2,'Insufficient storage','Less than 15000','Factory worker',Huawei
Female,26-35,Working,'Watch movies/listen to music, Play games, Communication/meetings','Instagram, Facebook, YouTube, Snapchat, Facebook Messenger, Spotify, WhatsApp, TikTok','5-6 hours','Not necessary',Reliability,3,'Payment issues','Less than 15000','Content creator',Realme
LGBTQ+,26-32,Working,'Play games, Watch movies, Take photos','Instagram, Facebook, YouTube, Facebook Messenger, Spotify, TikTok, Telegram','5-6 hours',Essential,Ecosystem,1,'Concerns about payment security',15001-20000,'Private company employee',Oppo
Female,26-35,Single,'Play games, Take photos/videos',Instagram,'>5 hours',Essential,Reliability,1,'Concerns about safety',20001-30000,Artist,Huawei
LGBTQ+,33-40,Single,'Play games, Take photos/videos, Cloud apps','Instagram, Facebook, YouTube, Facebook Messenger, Telegram','3-5 hours','Not important','Sensor quality',4,'No problems','Less than 15000','Delivery staff',Infinix
Female,33-40,Married,'Play games','Instagram, Facebook, YouTube, Facebook Messenger, TikTok, Telegram','>5 hours','Somewhat important',Battery,1,'Uncertainty about warranty',100001-150000,Manager,Oppo
LGBTQ+,26-35,Single,'Watch movies, Listen to music, Take photos','Facebook, Facebook Messenger, Spotify','3-5 hours','Somewhat important',Performance,5,'Payment security concerns','Less than 15000',Retired,Huawei
LGBTQ+,33-40,Single,'Watch movies/listen to music, Take photos/videos, Social media','Instagram, YouTube, Facebook Messenger, TikTok','1-3 hours','Not necessary',Stability,2,'Difficult return process','Less than 15000',Artist,Apple
Male,36-45,Working,'Play esports, Stream games, Community chat','Instagram, YouTube, TikTok','3-5 hours',Essential,Stability,3,'Dead pixels on screen','Less than 15000',Student,Realme
LGBTQ+,18-25,Married,'Play games, Streaming, Take photos/videos',TikTok,'1-3 hours','Not necessary',Brand,2,'Payment security concerns','Less than 15000',Housewife,Infinix
Female,56+,Single,'Watch movies/listen to music, Play games, Cloud apps','Instagram, Facebook, YouTube, Facebook Messenger, TikTok','1-3 hours','Somewhat important','Product reviews',3,'Device overheats',50001-100000,Employee,Oppo
Female,36-45,Student,'/, Email, Finance',Instagram,'5-6 hours','Highly essential',Ecosystem,1,'Cannot try product before buying','Less than 15000',Artist,Redmi
Male,60+,Student,'Product photography, Edit reviews, Online marketplace','Instagram, Facebook, YouTube, Facebook Messenger, TikTok, Line','1-3 hours','Not necessary','Value for money',1,'Insufficient storage','Less than 15000','Civil servant',Vivo
Male,18-25,Student,'Play games, Take photos/videos','Facebook, Facebook Messenger, Spotify','3-5 hours','Highly essential',Brand,1,'Outdated system',50001-100000,'Online seller',Samsung
Female,46-55,Single,'Watch movies/listen to music, Play games, Communication/meetings','Instagram, TikTok','0-1 hours','Not important',Durability,3,'Cannot try product before buying','Less than 15000',Artist,Vivo
LGBTQ+,26-32,Single,'Communication/meetings, Social media',Shopee,'5-6 hours','Not important',Battery,3,'Limited warranty coverage',20001-30000,Artist,Realme
LGBTQ+,26-32,Single,'Play games, Streaming, Take photos/videos',VSCO,'0-1 hours','Not necessary',Design,3,'Warranty or service concerns',30001-50000,'Business owner',Oppo
Male,60+,Single,'Watch movies/listen to music, Play games, Social media',VSCO,'1-3 hours',Essential,'Sensor quality',2,'Limited warranty coverage',50001-100000,Manager,Oppo
LGBTQ+,56+,Married,'Watch movies/listen to music','Instagram, Facebook, YouTube','5-6 hours','Highly essential',Ecosystem,5,'Delivery delays',20001-30000,Artist,Vivo
Male,46-55,Single,'Read news, Check stocks, Finance','Facebook, Facebook Messenger, Line','5-6 hours','Not necessary',Brand,2,'No problems','Less than 15000',Freelancer,Oppo
Female,56+,Student,'Watch movies/listen to music, Take photos/videos','YouTube, Facebook Messenger, Discord, Wise','5-6 hours','Not necessary','Product reviews',2,'Issues with delivery','Less than 15000',Freelancer,Apple
Male,18-25,Working,'Play games, Streaming, Social media','Instagram, YouTube, Spotify, Telegram','1-3 hours',Essential,Reliability,1,'Insufficient storage','Less than 15000','Logistics staff',Realme
LGBTQ+,18-25,Student,'Watch movies/listen to music, Take photos/videos',Shopee,'3-5 hours','Somewhat important',Price,1,'Product is too expensive','Less than 15000','Private company employee',Redmi
LGBTQ+,18-25,Student,'Watch movies/listen to music, Take photos/videos',Shopee,'3-5 hours','Somewhat important',Price,1,'Product is too expensive','Less than 15000','Private company employee',Redmi
Male,46-55,Working,'Watch movies/listen to music, Communication/meetings, Social media','Instagram, Facebook, YouTube, Facebook Messenger, Spotify','5-6 hours','Not important',Performance,2,'Device overheats',30001-50000,Housewife,Oppo
