@RELATION smartphone
@ATTRIBUTE Gender {Female,LGBTQ+,Male}
@ATTRIBUTE Age_range {18-25,26-32,26-35,33-40,36-45,46-55,56+,60+}
@ATTRIBUTE Status {Married,Single,Student,Working}
@ATTRIBUTE Top3_smartphone_activities STRING
@ATTRIBUTE Frequent_apps STRING
@ATTRIBUTE Daily_usage_duration {'0-1 hours','1-3 hours','3-5 hours','5-6 hours','>5 hours'}
@ATTRIBUTE Smartphone_importance {'Highly essential','Not important','Not necessary','Somewhat important',Essential}
@ATTRIBUTE Key_factor_online_purchase {'Product features','Product reviews','Sensor quality','Value for money',Battery,Brand,Camera,Design,Durability,Ecosystem,Features,Performance,Price,Reliability,Simplicity,Stability}
@ATTRIBUTE Brand_satisfaction {1,2,3,4,5}
@ATTRIBUTE Purchase_problem {'After-sales service issues','Blurry camera','Cannot try product before buying','Complex payment process','Concerns about after-sales service','Concerns about payment security','Concerns about safety','Concerns about warranty','Dead pixels on screen','Delivery delays','Device overheats','Difficult return process','Difficult to compare prices','Insufficient storage','Issues with delivery','Limited warranty coverage','No problems','Outdated system','Payment issues','Payment security concerns','Product is too expensive','Product quality doesn\'t match ads','System crashes frequently','Unable to inspect product','Uncertainty about after-sales service','Uncertainty about warranty','Warranty or service concerns'}
@ATTRIBUTE Monthly_income {'Less than 15000',100001-150000,15001-20000,20001-30000,25001-35000,30001-40000,30001-50000,50001,50001-100000}
@ATTRIBUTE Occupation {'Business owner','Civil servant','Content creator','Delivery staff','Factory worker','Logistics staff','Office worker','Online seller','Private company employee',Artist,Employee,Freelancer,Housewife,Investor,Manager,Retired,Student}
@ATTRIBUTE Current_brand {'Realme 7 5G',Apple,Huawei,Infinix,Oppo,Realme,Redmi,Samsung,Vivo,Xiaomi}
@DATA
Male,26-32,Working,'Product photography Edit reviews Online marketplace',Telegram,'0-1 hours','Not important','Value for money',1,'System crashes frequently',50001-100000,'Content creator',?
Male,26-32,Married,'Play esports Stream games Community chat',CapCut,'5-6 hours','Highly essential','Product reviews',3,'Warranty or service concerns','Less than 15000',Student,?
Male,18-25,Single,'Watch movies/listen to music Take photos/videos Communication/meetings','Instagram Facebook YouTube Facebook Messenger Telegram','1-3 hours',Essential,'Product features',3,'Concerns about payment security','Less than 15000',Student,?
LGBTQ+,36-45,Married,'Watch movies/listen to music Social media','Google Maps','3-5 hours','Somewhat important',Stability,4,'Unable to inspect product','Less than 15000','Civil servant',?
Male,33-40,Single,'Play games Streaming Take photos/videos','Facebook Facebook Messenger Spotify','5-6 hours','Not important',Price,3,'Payment issues',20001-30000,'Content creator',?
Female,60+,Working,'Online shopping Track delivery Customer chat','Facebook Facebook Messenger Spotify TikTok','3-5 hours','Not necessary','Product features',5,'Delivery delays',20001-30000,Employee,?
LGBTQ+,26-32,Married,'Email Finance',Telegram,'1-3 hours','Somewhat important',Ecosystem,2,'Outdated system','Less than 15000',Student,?
LGBTQ+,26-35,Single,'Play games Take photos/videos Social media','Instagram YouTube Facebook Messenger TikTok','1-3 hours','Not important',Battery,4,'Device overheats',100001-150000,Employee,?
Female,33-40,Working,'Product photography Edit reviews Online marketplace',Instagram,'1-3 hours','Somewhat important',Brand,2,'Uncertainty about after-sales service','Less than 15000','Logistics staff',?
Male,26-35,Student,'Play esports Stream games Community chat','Instagram Facebook YouTube Facebook Messenger Spotify WhatsApp TikTok Telegram','>5 hours','Somewhat important',Stability,3,'Complex payment process',20001-30000,Student,?
Female,18-25,Married,'Watch movies/listen to music Play games Cloud apps','Instagram Facebook TikTok','3-5 hours','Not necessary','Sensor quality',2,'Payment issues','Less than 15000','Logistics staff',?
Female,56+,Married,'Watch movies/listen to music Play games Take photos/videos','Instagram YouTube Spotify TikTok','1-3 hours','Not necessary',Camera,5,'Product is too expensive',20001-30000,'Online seller',?
Male,56+,Married,'/ Email Finance',VSCO,'3-5 hours','Somewhat important',Simplicity,5,'Blurry camera','Less than 15000',Retired,?
Female,36-45,Married,'Online shopping Track delivery Customer chat','Facebook YouTube Facebook Messenger Spotify','3-5 hours','Not necessary',Stability,4,'Uncertainty about warranty',20001-30000,Student,?
Female,18-25,Married,'Watch movies/listen to music Play games','Facebook YouTube Facebook Messenger','5-6 hours','Not necessary',Design,4,'Concerns about safety','Less than 15000','Office worker',?
LGBTQ+,26-32,Single,'Watch movies/listen to music Social media','Instagram YouTube Facebook Messenger TikTok','5-6 hours','Not important','Sensor quality',1,'Issues with delivery',15001-20000,'Online seller',?
Male,18-25,Single,'Watch movies/listen to music Take photos/videos Communication/meetings','Instagram Facebook YouTube Facebook Messenger Telegram','1-3 hours',Essential,'Product features',3,'Concerns about payment security','Less than 15000',Student,?
LGBTQ+,33-40,Working,'Communication/meetings Social media','Instagram Facebook Facebook Messenger TikTok Telegram','5-6 hours',Essential,'Sensor quality',2,'Delivery delays','Less than 15000',Student,?
Male,46-55,Student,'Watch movies/listen to music Social media','Instagram YouTube TikTok','>5 hours','Highly essential',Features,2,'Concerns about safety','Less than 15000',Freelancer,?
Male,36-45,Student,'Product photography Edit reviews Online marketplace','Microsoft Teams','5-6 hours',Essential,Battery,5,'Insufficient storage','Less than 15000','Online seller',?
Female,18-25,Student,'Play games Take photos/videos Social media','Instagram Facebook YouTube Facebook Messenger TikTok Telegram','0-1 hours','Somewhat important',Camera,4,'Concerns about payment security',30001-40000,'Content creator',?
LGBTQ+,46-55,Married,'Track delivery Customer chat Email','Instagram YouTube Spotify TikTok','3-5 hours','Not necessary',Durability,2,'Complex payment process','Less than 15000',Freelancer,?
Female,26-35,Student,'Watch movies/listen to music Play games','Facebook Facebook Messenger Spotify','5-6 hours','Not important',Simplicity,4,'Payment security concerns','Less than 15000','Delivery staff',?
Male,46-55,Working,'Play games Take photos Watch movies','Instagram Facebook YouTube Snapchat Facebook Messenger Spotify WhatsApp TikTok Telegram','>5 hours','Highly essential',Price,3,'Insufficient storage','Less than 15000','Private company employee',?
Male,33-40,Married,'Play games Watch movies Take photos','Instagram Facebook YouTube Facebook Messenger Spotify WhatsApp TikTok Telegram','5-6 hours','Not important',Battery,3,'Insufficient storage','Less than 15000',Employee,?
LGBTQ+,56+,Single,'Product photography Edit reviews Online marketplace','Instagram YouTube Spotify TikTok','5-6 hours','Somewhat important',Stability,2,'Device overheats',50001-100000,Housewife,?
Male,46-55,Single,'Online meetings Schedule management Email','Instagram Facebook YouTube Facebook Messenger','>5 hours',Essential,'Product reviews',2,'Payment security concerns','Less than 15000',Freelancer,?
Female,26-32,Working,'Product photography Edit reviews Online marketplace','Instagram Facebook YouTube Facebook Messenger Spotify WhatsApp TikTok Telegram','0-1 hours','Highly essential',Features,1,'Product quality doesn\'t match ads','Less than 15000','Factory worker',?
Male,18-25,Working,'Watch movies Take photos Listen to music','Facebook TikTok Line','1-3 hours','Not necessary',Price,1,'Payment issues','Less than 15000','Business owner',?
LGBTQ+,60+,Single,'Play games Take photos/videos Social media',VSCO,'1-3 hours',Essential,Price,4,'Cannot try product before buying','Less than 15000','Office worker',?
