Gender,Age_range,Status,Occupation,Monthly_income,Daily_usage_duration,Smartphone_importance,Key_factor_online_purchase,Brand_satisfaction,Purchase_problem,Frequent_apps,Top3_smartphone_activities,Current_brand
Male,18-25,Single,Student,15001-20000,1-3 hours,Necessary,Product feature,3,Concerns about payment security,"Instagram, Facebook, YouTube, Facebook Messenger, Telegram","Watch movies/listen to music, Take photos/videos, Communication/meetings",Realme 7 5G
Male,60+,Single,Business owner,15001-20000,0-1 hours,Not necessary,Product feature,4,Concerns about payment security,"Instagram, Facebook, YouTube, Facebook Messenger, TikTok, Line, X","Watch movies/listen to music, Play games, Cloud apps",Redmi
Male,26-32,Single,Business owner,20001-30000,0-1 hours,Most necessary,Product feature,3,Unable to inspect product,"Instagram, Facebook, Facebook Messenger, TikTok, LINE","Online meetings, Schedule management, Email",Huawei
Female,60+,Married,Business owner,30001-40000,0-1 hours,Most necessary,Price,2,Unable to inspect product,TikTok,Play games,Apple
Male,18-25,Single,Student,15001-20000,More than 5 hours,Most necessary,Product feature,3,Unable to inspect product,"Facebook, YouTube","Watch movies/listen to music, Play games",Huawei
Male,60+,Single,Business owner,20001-30000,0-1 hours,Necessary,Price,3,Warranty or service concerns,"Instagram, YouTube, Spotify, Telegram","Play games, Take photos/videos, Cloud apps",Xiaomi
Female,18-25,Single,Business owner,15001-20000,,Not necessary,Product feature,4,Warranty or service concerns,"Instagram, Facebook, Facebook Messenger, TikTok",Watch movies/listen to music,Realme
Male,26-32,Married,Factory worker,15001-20000,0-1 hours,Most necessary,Product feature,2,Unable to inspect product,"Facebook, Facebook Messenger, Spotify","Watch movies, Play games, Take photos",Huawei
Female,26-32,Single,Student,15001-20000,,Not necessary,Product feature,3,Concerns about payment security,"Instagram, Facebook, YouTube, Snapchat, Facebook Messenger, Spotify, WhatsApp, TikTok","Watch movies/listen to music, Play games, Communication/meetings",Realme
Female,26-32,Single,Private company employee,15001-20000,,Necessary,Product feature,1,Concerns about payment security,"Instagram, Facebook, YouTube, Facebook Messenger, Spotify, TikTok, Telegram","Play games, Watch movies, Take photos",Oppo
Female,26-32,Single,Business owner,20001-30000,More than 5 hours,Necessary,Product feature,1,Unable to inspect product,Instagram,"Play games, Take photos/videos",Huawei
Male,33-40,Single,Private company employee,15001-20000,3-5 hours,Not necessary,Product feature,4,Unable to inspect product,"Instagram, Facebook, YouTube, Facebook Messenger, Telegram","Play games, Take photos/videos, Cloud apps",Infinix
Female,33-40,Married,Private company employee,More than 50001,More than 5 hours,Necessary,Product feature,1,Warranty or service concerns,"Instagram, Facebook, YouTube, Facebook Messenger, TikTok, Telegram",Play games,Oppo
Male,26-32,Single,Private company employee,15001-20000,3-5 hours,Necessary,Product feature,5,Concerns about payment security,"Facebook, Facebook Messenger, Spotify","Watch movies, Listen to music, Take photos",Huawei
Female,33-40,Single,Business owner,15001-20000,1-3 hours,Not necessary,Product feature,2,Unable to inspect product,"Instagram, YouTube, Facebook Messenger, TikTok","Watch movies/listen to music, Take photos/videos, Social media",Apple
Male,33-40,Single,Student,15001-20000,3-5 hours,Necessary,Product feature,3,Unable to inspect product,"Instagram, YouTube, TikTok","Play esports, Stream games, Community chat",Realme
Male,18-25,Married,Private company employee,15001-20000,1-3 hours,Not necessary,Product feature,2,Concerns about payment security,TikTok,"Play games, Streaming, Take photos/videos",Infinix
Female,60+,Single,Private company employee,More than 50001,1-3 hours,Necessary,Product review,3,Unable to inspect product,"Instagram, Facebook, YouTube, Facebook Messenger, TikTok","Watch movies/listen to music, Play games, Cloud apps",Oppo
Female,33-40,Single,Business owner,15001-20000,,Most necessary,Product feature,1,Unable to inspect product,Instagram,"/, Email, Finance",Redmi
Male,60+,Single,Government officer,15001-20000,1-3 hours,Not necessary,Product feature,1,Unable to inspect product,"Instagram, Facebook, YouTube, Facebook Messenger, TikTok, Line","Product photography, Edit reviews, Online marketplace",Vivo
Male,18-25,Single,Business owner,More than 50001,3-5 hours,Most necessary,Product feature,1,Unable to inspect product,"Facebook, Facebook Messenger, Spotify","Play games, Take photos/videos",Samsung
Female,41-50,Single,Business owner,15001-20000,0-1 hours,Not necessary,Product feature,3,Unable to inspect product,"Instagram, TikTok","Watch movies/listen to music, Play games, Communication/meetings",Vivo
Female,26-32,Single,Business owner,20001-30000,,Not necessary,Product feature,3,Warranty or service concerns,Shopee,"Communication/meetings, Social media",Realme
Male,26-32,Single,Business owner,30001-40000,0-1 hours,Not necessary,Product feature,3,Warranty or service concerns,VSCO,"Play games, Streaming, Take photos/videos",Oppo
Male,60+,Single,Private company employee,More than 50001,1-3 hours,Necessary,Product feature,2,Warranty or service concerns,VSCO,"Watch movies/listen to music, Play games, Social media",Oppo
Male,60+,Married,Business owner,20001-30000,,Most necessary,Product feature,5,Delivery delay,"Instagram, Facebook, YouTube",Watch movies/listen to music,Vivo
Male,41-50,Single,Business owner,15001-20000,,Not necessary,Product feature,2,Unable to inspect product,"Facebook, Facebook Messenger, Line","Read news, Check stocks, Finance",Oppo
Female,60+,Single,Business owner,15001-20000,,Not necessary,Product review,2,Delivery delay,"YouTube, Facebook Messenger, Discord, Wise","Watch movies/listen to music, Take photos/videos",Apple
Male,18-25,Single,Private company employee,15001-20000,1-3 hours,Necessary,Product feature,1,Unable to inspect product,"Instagram, YouTube, Spotify, Telegram","Play games, Streaming, Social media",Realme
Female,18-25,Single,Private company employee,15001-20000,3-5 hours,Necessary,Price,1,Unable to inspect product,Shopee,"Watch movies/listen to music, Take photos/videos",Redmi
Male,41-50,Single,Private company employee,30001-40000,,Not necessary,Product feature,2,Unable to inspect product,"Instagram, Facebook, YouTube, Facebook Messenger, Spotify","Watch movies/listen to music, Communication/meetings, Social media",Oppo
Female,33-40,Single,Private company employee,15001-20000,0-1 hours,Not necessary,Product feature,4,Unable to inspect product,"Instagram, Facebook, YouTube, Facebook Messenger, Spotify","Online shopping, Track delivery, Customer chat",Redmi
Male,41-50,Single,Business owner,15001-20000,More than 5 hours,Most necessary,Product feature,2,Unable to inspect product,"Instagram, YouTube, TikTok","Watch movies/listen to music, Social media",Infinix
Male,33-40,Single,Private company employee,More than 50001,0-1 hours,Necessary,Product feature,2,Warranty or service concerns,"Instagram, YouTube, Facebook Messenger, Spotify, TikTok","Online shopping, Social media, Finance",Samsung
Female,41-50,Single,Business owner,20001-30000,More than 5 hours,Necessary,Product feature,4,Unable to inspect product,"Instagram, Facebook, Facebook Messenger, TikTok, Telegram","Play games, Watch movies, Take photos",Xiaomi
Female,33-40,Married,Business owner,15001-20000,More than 5 hours,Necessary,Product feature,5,Concerns about payment security,Google Maps,"Watch movies/listen to music, Play games, Take photos/videos",Huawei
Female,41-50,Married,Private company employee,20001-30000,,Necessary,Product feature,2,Warranty or service concerns,"Instagram, Facebook, YouTube, Facebook Messenger, Spotify, WhatsApp, TikTok, Telegram","Play esports, Stream games, Community chat",Vivo
Female,18-25,Single,Business owner,30001-40000,1-3 hours,Not necessary,Product feature,5,Unable to inspect product,YouTube,"Watch movies/listen to music, Social media",Samsung
Female,33-40,Married,Private company employee,15001-20000,,Not necessary,Product feature,1,Concerns about payment security,Shopee,"Watch movies, Listen to music, Take photos",Redmi
Female,33-40,Single,Student,15001-20000,0-1 hours,Most necessary,Product feature,2,Warranty or service concerns,CapCut,"Play games, Take photos/videos, Social media",Oppo
Female,33-40,Married,Private company employee,15001-20000,1-3 hours,Necessary,Product feature,1,Unable to inspect product,"Facebook, TikTok, Line","Cloud apps, Communication/meetings, Social media",Realme
Male,18-25,Single,Student,15001-20000,More than 5 hours,Most necessary,Product feature,4,Warranty or service concerns,"Instagram, Facebook, YouTube, Facebook Messenger, Spotify, TikTok","Watch movies/listen to music, Play games, Social media",Infinix
Female,60+,Single,Business owner,15001-20000,1-3 hours,Not necessary,Product feature,2,Unable to inspect product,"Instagram, Facebook, YouTube, Facebook Messenger, Spotify, WhatsApp, TikTok, Telegram","Streaming, Take photos/videos, Edit video",Vivo
Female,33-40,Single,Private company employee,15001-20000,1-3 hours,Necessary,Product feature,1,Concerns about payment security,"Instagram, YouTube, Facebook Messenger, Spotify, TikTok","Take photos/videos, Communication/meetings, Social media",Realme
Male,26-32,Married,Student,15001-20000,,Necessary,Product feature,3,Warranty or service concerns,Facebook,"Play games, Take photos/videos",Infinix
Female,41-50,Married,Business owner,15001-20000,,Most necessary,Price,1,Concerns about payment security,Gmail,"Watch movies/listen to music, Play games, Social media",Vivo
Female,60+,Single,Private company employee,15001-20000,More than 5 hours,Most necessary,Product feature,4,Warranty or service concerns,Facebook,"Play games, Take photos, Watch movies",Vivo
Male,60+,Married,Business owner,15001-20000,,Not necessary,Product feature,5,Unable to inspect product,"Instagram, Facebook Messenger, TikTok","Online meetings, Schedule management, Email",Huawei
Female,33-40,Single,Private company employee,15001-20000,3-5 hours,Not necessary,Product review,3,Unable to inspect product,"Instagram, Facebook, YouTube, Snapchat, Facebook Messenger, Spotify, TikTok","Play games, Streaming, Take photos/videos",Xiaomi
Male,26-32,Single,Private company employee,15001-20000,0-1 hours,Necessary,Product feature,1,Warranty or service concerns,Discord,"Watch movies/listen to music, Social media",Infinix
Female,26-32,Single,Private company employee,15001-20000,,Most necessary,Product feature,5,Unable to inspect product,"Instagram, Facebook, YouTube, Snapchat, Facebook Messenger, Spotify, WhatsApp, TikTok","Play games, Take photos/videos",Oppo
Male,26-32,Married,Private company employee,15001-20000,More than 5 hours,Not necessary,Product feature,5,Unable to inspect product,"Instagram, Facebook, YouTube, Facebook Messenger, Spotify","Watch movies, Take photos, Listen to music",Huawei
Male,60+,Married,Private company employee,15001-20000,,Not necessary,Price,4,Unable to inspect product,"Instagram, Facebook, YouTube, Snapchat, Facebook Messenger, Spotify, WhatsApp, TikTok","Watch movies/listen to music, Take photos/videos",Xiaomi
Male,26-32,Married,Private company employee,15001-20000,,Necessary,Product feature,4,Unable to inspect product,"Instagram, Facebook, TikTok","Online shopping, Track delivery, Customer chat",Xiaomi
Male,60+,Married,Business owner,15001-20000,1-3 hours,Not necessary,Product feature,4,Unable to inspect product,"Facebook, TikTok, Line","Take photos, Listen to music, Social media",Huawei
Female,33-40,Single,Business owner,15001-20000,3-5 hours,Necessary,Product feature,1,Warranty or service concerns,"Instagram, Facebook, YouTube, Snapchat, Facebook Messenger, Spotify, WhatsApp, TikTok","Play esports, Stream games, Community chat",Infinix
Male,60+,Single,Business owner,15001-20000,0-1 hours,Not necessary,Product feature,1,Unable to inspect product,"Facebook, Facebook Messenger, Spotify","Art photography, Video editing, Upload stories",Realme
Male,26-32,Single,Private company employee,15001-20000,,Not necessary,Product feature,5,Unable to inspect product,"Instagram, Facebook, TikTok","Communication, Take photos, Social media",Redmi
Female,60+,Single,Business owner,20001-30000,0-1 hours,Necessary,Product feature,3,Warranty or service concerns,"Instagram, Facebook, YouTube, Facebook Messenger, TikTok","Online shopping, Social media, Finance",Realme
Female,60+,Single,Business owner,15001-20000,,Most necessary,Product feature,3,Warranty or service concerns,"Instagram, Facebook, YouTube, Facebook Messenger, Spotify",Watch movies/listen to music,Vivo
Male,41-50,Single,Government officer,15001-20000,0-1 hours,Necessary,Product feature,1,Warranty or service concerns,"Instagram, Facebook, YouTube, Facebook Messenger, Spotify, TikTok","Social media, Take photos/videos, Watch movies/Listen to music",Apple
Male,60+,Married,Private company employee,15001-20000,3-5 hours,Necessary,Product feature,5,Unable to inspect product,VSCO,"/, Email, Finance",Redmi
Female,18-25,Married,Private company employee,30001-40000,0-1 hours,Most necessary,Product feature,2,Unable to inspect product,"YouTube, TikTok","Take photos/videos, Communication/meetings, Social media",Oppo
Male,33-40,Single,Private company employee,15001-20000,,Not necessary,Product feature,2,Unable to inspect product,"Instagram, Facebook, YouTube, Facebook Messenger, TikTok, Telegram","Watch movies/listen to music, Play games, Take photos/videos",Redmi
Female,26-32,Married,Private company employee,15001-20000,0-1 hours,Most necessary,Price,2,Unable to inspect product,"Instagram, Facebook, YouTube, Facebook Messenger","Play games, Take photos, Watch movies",Oppo
Male,18-25,Single,Private company employee,15001-20000,1-3 hours,Not necessary,Product feature,2,Unable to inspect product,"Instagram, Facebook, Facebook Messenger, TikTok, LINE","Online shopping, Social media, Finance",Infinix
Male,26-32,Single,Student,20001-30000,More than 5 hours,Necessary,Product feature,3,Concerns about payment security,"Instagram, Facebook, YouTube, Facebook Messenger, Spotify, WhatsApp, TikTok, Telegram","Play esports, Stream games, Community chat",Realme
Female,60+,Married,Private company employee,20001-30000,1-3 hours,Not necessary,Product feature,4,Unable to inspect product,Telegram,"Product photography, Edit reviews, Online marketplace",Vivo
Female,33-40,Single,Private company employee,20001-30000,0-1 hours,Necessary,Product feature,5,Unable to inspect product,WhatsApp,"Communication/meetings, Social media",Realme
Female,26-32,Single,Private company employee,15001-20000,,Most necessary,Product feature,4,Unable to inspect product,"Instagram, Facebook, Facebook Messenger, TikTok, LINE","/, Email, Finance",Huawei
Female,60+,Married,Private company employee,15001-20000,,Necessary,Product feature,3,Delivery delay,Microsoft Teams,"Watch movies/listen to music, Play games",Apple
Female,18-25,Single,Student,15001-20000,More than 5 hours,Necessary,Product feature,5,Concerns about payment security,Instagram,"Social media, Take photos/videos, Watch movies/Listen to music",Vivo
Male,18-25,Single,Student,15001-20000,More than 5 hours,Most necessary,Price,5,Delivery delay,Facebook,"Watch movies/listen to music, Play games, Social media",Redmi
Female,26-32,Single,Private company employee,15001-20000,3-5 hours,Necessary,Product feature,2,Unable to inspect product,"Instagram, Facebook, TikTok","Read news, Check stocks, Finance",Oppo
Female,26-32,Single,Private company employee,15001-20000,More than 5 hours,Most necessary,Product feature,2,Unable to inspect product,"Instagram, Facebook, YouTube, Spotify, TikTok","Online meetings, Schedule management, Email",Realme 7 5G
Male,33-40,Single,Private company employee,15001-20000,3-5 hours,Not necessary,Product feature,5,Unable to inspect product,"Instagram, YouTube, Facebook Messenger, TikTok","Watch movies/listen to music, Communication/meetings, Social media",Xiaomi
Female,60+,Single,Private company employee,15001-20000,More than 5 hours,Not necessary,Product feature,4,Unable to inspect product,Microsoft Teams,"Watch movies/listen to music, Play games, Cloud apps",Vivo
Male,33-40,Single,Business owner,More than 50001,More than 5 hours,Necessary,Product feature,2,Concerns about payment security,"Facebook, Facebook Messenger, Spotify","Take photos, Listen to music, Social media",Samsung
Female,60+,Married,Business owner,15001-20000,1-3 hours,Necessary,Product feature,4,Concerns about payment security,Facebook,"Art photography, Video editing, Upload stories",Realme 7 5G
