Gender,Age_range,Status,Top3_smartphone_activities,Frequent_apps,Daily_usage_duration,Smartphone_importance,Current_brand,Key_factor_online_purchase,Brand_satisfaction,Purchase_problem,Monthly_income,Occupation
Female,26-32,Single,"Watch movies/listen to music, Play games, Take photos","Instagram, YouTube, TikTok",1-3 hours,Somewhat important,Calculator,Value for money,1,Warranty or service concerns,15001-20000,Logistics staff
LGBTQ+,36-45,Working,"Watch movies/listen to music, Communication/meetings, Social media","Instagram, YouTube, TikTok",3-5 hours,Highly essential,Oppo,Battery,1,Warranty or service concerns,15001-20000,Logistics staff
LGBTQ+,56+,Student,"Watch movies/listen to music, Play games, Cloud apps",SET,3-5 hours,Not necessary,Realme,Product features,4,Payment security concerns,15001-20000,Logistics staff
Male,26-35,Married,"Play games, Take photos/videos",Facebook,5-6 hours,Essential,Infinix,Performance,3,Uncertainty about warranty,Less than 15000,Content creator
Male,36-45,Working,"Streaming, Take photos/videos, Edit video",LINE,3-5 hours,Somewhat important,Apple,Product reviews,2,Delivery delays,Less than 15000,Logistics staff
LGBTQ+,26-32,Single,"Communication, Take photos, Social media",Google Maps,1-3 hours,Essential,Realme 7 5G,Simplicity,1,Blurry camera,Less than 15000,Civil servant
LGBTQ+,56+,Working,"Watch movies/listen to music, Social media","Facebook, YouTube, Facebook Messenger",0-1 hours,Not important,Apple,Design,3,Blurry camera,Less than 15000,Housewife
Female,56+,Student,Play games,YouTube,5-6 hours,Not necessary,Oppo,Simplicity,2,Unable to inspect product,30001-50000,Civil servant
Male,46-55,Working,"Watch movies/listen to music, Play games, Communication/meetings","Instagram, Facebook, TikTok",3-5 hours,Highly essential,Realme 7 5G,Brand,5,No problems,Less than 15000,Housewife
Female,18-25,Single,"Watch movies/listen to music, Social media",LINE,0-1 hours,Not necessary,Realme 7 5G,Product features,3,Uncertainty about after-sales service,Less than 15000,Investor
Male,56+,Student,"Watch movies, Play games, Take photos",Facebook,>5 hours,Somewhat important,Xiaomi,Product features,5,Product is too expensive,Less than 15000,Housewife
Male,56+,Married,Watch movies/listen to music,Gmail,5-6 hours,Not important,Vivo,Reliability,3,Concerns about warranty,Less than 15000,Office worker
Male,60+,Married,"Watch movies, Listen to music, Take photos",Microsoft Teams,1-3 hours,Essential,Realme 7 5G,Brand,4,Product is too expensive,Less than 15000,Investor
Female,18-25,Student,"Watch movies/listen to music, Play games, Take photos/videos","Instagram, Facebook, YouTube",>5 hours,Somewhat important,Other,Simplicity,4,Uncertainty about warranty,Less than 15000,Private company employee
Male,26-32,Married,"Streaming, Take photos/videos, Edit video",SET,1-3 hours,Highly essential,Calculator,Features,1,Unable to inspect product,15001-20000,Artist
Female,18-25,Working,"Play games, Streaming, Social media","YouTube, TikTok",3-5 hours,Not necessary,Realme,Features,3,Concerns about payment security,Less than 15000,Private company employee
Female,36-45,Married,"Track delivery, Customer chat, Email","Facebook, YouTube",3-5 hours,Somewhat important,Oppo,Ecosystem,5,Concerns about warranty,Less than 15000,Artist
LGBTQ+,36-45,Single,"Watch movies/listen to music, Communication/meetings, Social media","Instagram, YouTube, Facebook Messenger, Spotify, TikTok",3-5 hours,Highly essential,Infinix,Ecosystem,1,Limited warranty coverage,Less than 15000,Delivery staff
Male,46-55,Single,"Take photos/videos, Communication/meetings, Social media","Instagram, Facebook, YouTube, Facebook Messenger, Spotify, TikTok",5-6 hours,Somewhat important,Infinix,Performance,1,Limited warranty coverage,Less than 15000,Private company employee
Female,26-32,Student,"Watch movies/listen to music, Social media",Instagram,3-5 hours,Essential,Realme,Design,4,Uncertainty about warranty,15001-20000,Freelancer
LGBTQ+,26-32,Single,"Watch movies/listen to music, Social media","Instagram, Facebook, YouTube, Spotify, TikTok",5-6 hours,Highly essential,Samsung,Simplicity,5,Unable to inspect product,30001-50000,Artist
Male,36-45,Single,"Watch movies, Play games, Take photos","Instagram, Facebook, Facebook Messenger, TikTok, LINE",3-5 hours,Not necessary,Apple,Brand,3,Concerns about after-sales service,Less than 15000,Factory worker
Male,33-40,Working,"Watch movies/listen to music, Take photos/videos, Communication/meetings","Facebook, YouTube, Facebook Messenger",3-5 hours,Highly essential,Other,Brand,1,Product is too expensive,Less than 15000,Factory worker
LGBTQ+,26-32,Married,"Online shopping, Track delivery, Customer chat","Facebook, YouTube, Facebook Messenger, Spotify",3-5 hours,Not important,Huawei,Reliability,3,After-sales service issues,20001-30000,Housewife
Male,18-25,Single,"Watch movies/listen to music, Communication/meetings, Social media","Instagram, Facebook, YouTube, Facebook Messenger, Spotify, TikTok, Telegram",1-3 hours,Highly essential,Calculator,Product features,5,Concerns about payment security,15001-20000,Student
Male,36-45,Student,"Play games, Take photos/videos","Instagram, Facebook, YouTube, Spotify, TikTok",0-1 hours,Not necessary,Realme,Price,1,Blurry camera,Less than 15000,Factory worker
Female,46-55,Single,"Watch movies/listen to music, Play games, Take photos/videos",Google Maps,5-6 hours,Not necessary,Samsung,Design,5,Outdated system,50001-100000,Office worker
Male,60+,Student,"TikTok, Livestream, Search information","Instagram, Facebook, YouTube, Facebook Messenger, TikTok, Line",>5 hours,Essential,Xiaomi,Performance,4,Limited warranty coverage,Less than 15000,Logistics staff
LGBTQ+,36-45,Student,"Watch movies/listen to music, Play games, Take photos/videos","Instagram, Facebook, YouTube, Facebook Messenger, TikTok, Telegram",5-6 hours,Not necessary,Redmi,Reliability,2,Product quality doesn't match ads,Less than 15000,Office worker
